Format Version,1.22,Take Name,Section1 No3,Capture Frame Rate,256,Export Frame Rate,256,Capture Start Time,2019-12-12 06.08.21.411 ÂçàÂæ?Total Frames in Take,33114,Total Exported Frames,33114,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Glob,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01:Marker1,RigidBody 01:Marker1,RigidBody 01:Marker1,RigidBody 01:Marker1,RigidBody 01:Marker2,RigidBody 01:Marker2,RigidBody 01:Marker2,RigidBody 01:Marker2,RigidBody 01:Marker3,RigidBody 01:Marker3,RigidBody 01:Marker3,RigidBody 01:Marker3,RigidBody 01:Marker4,RigidBody 01:Marker4,RigidBody 01:Marker4,RigidBody 01:Marker4,RigidBody 01:Marker1,RigidBody 01:Marker1,RigidBody 01:Marker1,RigidBody 01:Marker2,RigidBody 01:Marker2,RigidBody 01:Marker2,RigidBody 01:Marker3,RigidBody 01:Marker3,RigidBody 01:Marker3,RigidBody 01:Marker4,RigidBody 01:Marker4,RigidBody 01:Marker4,,,,,,,,,,,,,,,,,,
,,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,30BD285B1CBE11EAFD303288BDCE7AF,C5740,C5740,C5740,C5720,C5720,C5720,C5710,C5710,C5710,C5730,C5730,C5730,,,,,,,,,,,,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,,,,,,,,,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,,,,,,,,,,,,,
0,0,0.000162,2.70E-05,-8.20E-05,-1,-48.230343,-5.390489,31.5851,0.055922,-98.898651,-5.766557,80.989059,0.987291,1.859665,-5.254314,82.769264,0.984557,2.255708,-5.04154,-17.333969,0.978126,-98.138092,-5.499545,-20.083952,0.994104,-98.894432,-5.787217,80.971275,1.905579,-5.285934,82.732918,2.207964,-4.989054,-17.252796,-98.143631,-5.496363,-20.107105,,,,,,,,,,,,,,,,,,
1,0.003906,0.000198,3.30E-05,-3.50E-05,-1,-48.25367,-5.252417,31.593412,0.053439,-98.922623,-5.620127,80.996765,0.987825,1.835708,-5.117194,82.778191,0.985715,2.233028,-4.911773,-17.325054,0.979256,-98.160789,-5.360574,-20.076263,0.993764,-98.914001,-5.641438,80.982758,1.875847,-5.144471,82.744453,2.188393,-4.862406,-17.246532,-98.167969,-5.358195,-20.102974,,,,,,,,,,,,,,,,,,
2,0.007813,0.000124,5.40E-05,-0.000119,-1,-48.255634,-4.07228,31.640604,0.056325,-98.92662,-4.455831,81.041771,0.987441,1.831561,-3.936212,82.827522,0.985726,2.233073,-3.715899,-17.275681,0.976564,-98.160553,-4.18118,-20.031191,0.993945,-98.91745,-4.478078,81.027496,1.870163,-3.96409,82.787094,2.18292,-3.661275,-17.190956,-98.16243,-4.180208,-20.056149,,,,,,,,,,,,,,,,,,
3,0.011719,0.00017,5.10E-05,-3.50E-05,-1,-48.237999,-3.400791,31.665615,0.05805,-98.908707,-3.771328,81.067146,0.986777,1.849562,-3.268459,82.852188,0.985267,2.250433,-3.057347,-17.251034,0.977458,-98.143272,-3.506029,-20.005836,0.992448,-98.897644,-3.792759,81.05484,1.88996,-3.296763,82.817062,2.200206,-3.002283,-17.167686,-98.148254,-3.507754,-20.037792,,,,,,,,,,,,,,,,,,
4,0.015625,0.000102,5.30E-05,-0.000126,-1,-48.220455,-4.140548,31.633343,0.059818,-98.89135,-4.526882,81.034576,0.986498,1.866821,-4.006096,82.820183,0.984276,2.268154,-3.781406,-17.283007,0.976078,-98.125458,-4.247808,-20.038366,0.99333,-98.88652,-4.548681,81.021286,1.910784,-4.036024,82.777298,2.216658,-3.726926,-17.195736,-98.126717,-4.245792,-20.065056,,,,,,,,,,,,,,,,,,
5,0.019531,0.00012,-5.00E-06,-3.30E-05,-1,-48.229591,-5.302205,31.589382,0.053116,-98.894852,-5.677412,80.996483,0.987781,1.863625,-5.175164,82.770424,0.98477,2.253432,-4.95414,-17.332823,0.98007,-98.140579,-5.402105,-20.076557,0.994262,-98.890121,-5.697001,80.977974,1.910096,-5.207001,82.738937,2.210098,-4.905229,-17.256325,-98.150124,-5.398452,-20.09997,,,,,,,,,,,,,,,,,,
6,0.023438,0.000148,2.10E-05,-2.80E-05,-1,-48.255066,-5.345068,31.589371,0.054481,-98.922844,-5.716987,80.993904,0.987549,1.83554,-5.215672,82.772972,0.984526,2.230458,-5.000262,-17.330275,0.979076,-98.163422,-5.447352,-20.079113,0.994367,-98.916534,-5.737531,80.976906,1.88034,-5.247208,82.737076,2.18699,-4.949941,-17.24892,-98.173798,-5.442969,-20.103622,,,,,,,,,,,,,,,,,,
7,0.027344,0.000125,4.70E-05,-8.60E-05,-1,-48.262333,-4.209977,31.638575,0.054022,-98.93264,-4.589983,81.040451,0.988052,1.825593,-4.077136,82.824783,0.986393,2.225704,-3.857126,-17.278425,0.976942,-98.167984,-4.315663,-20.032515,0.994591,-98.922928,-4.615164,81.023933,1.862928,-4.101854,82.78598,2.176172,-3.805271,-17.196218,-98.169632,-4.312018,-20.054304,,,,,,,,,,,,,,,,,,
8,0.03125,0.00017,3.80E-05,-6.00E-06,-1,-48.245277,-3.400424,31.665443,0.059698,-98.914795,-3.767908,81.068222,0.986433,1.843549,-3.271054,82.850784,0.984882,2.241969,-3.060023,-17.252449,0.976626,-98.151833,-3.502711,-20.00478,0.992361,-98.902924,-3.789524,81.053551,1.885695,-3.301329,82.815857,2.189074,-3.001684,-17.166786,-98.157288,-3.504998,-20.036503,,,,,,,,,,,,,,,,,,
9,0.035156,0.00011,5.30E-05,-8.60E-05,-1,-48.225765,-3.992226,31.63974,0.058213,-98.896683,-4.373738,81.040977,0.98681,1.861528,-3.860987,82.826569,0.984219,2.262876,-3.637886,-17.276623,0.976981,-98.130775,-4.096296,-20.031969,0.993778,-98.886475,-4.395921,81.02623,1.904086,-3.892776,82.785446,2.21646,-3.582482,-17.187571,-98.140152,-4.094248,-20.060724,,,,,,,,,,,,,,,,,,
10,0.039063,0.000159,1.70E-05,-2.60E-05,-1,-48.233078,-5.194441,31.592648,0.055316,-98.900452,-5.565138,80.997612,0.98733,1.857948,-5.06411,82.775833,0.984811,2.252042,-4.850846,-17.327421,0.978937,-98.141846,-5.297672,-20.075422,0.993607,-98.895111,-5.584966,80.98214,1.90285,-5.094876,82.741653,2.205788,-4.800007,-17.248251,-98.148186,-5.295433,-20.101221,,,,,,,,,,,,,,,,,,
11,0.042969,0.000176,3.00E-05,-5.30E-05,-1,-48.254642,-5.423232,31.582556,0.052997,-98.92334,-5.79488,80.98616,0.9879,1.834981,-5.288547,82.767097,0.984718,2.231795,-5.078677,-17.336149,0.979596,-98.16201,-5.530823,-20.086866,0.994789,-98.920738,-5.813622,80.967827,1.881368,-5.320547,82.732277,2.188241,-5.029571,-17.258593,-98.169769,-5.52595,-20.10743,,,,,,,,,,,,,,,,,,
12,0.046875,0.00022,4.80E-05,-6.10E-05,-1,-48.264389,-4.359988,31.628855,0.054903,-98.934845,-4.728172,81.030685,0.987519,1.823418,-4.219924,82.81517,0.985964,2.223786,-4.018857,-17.288086,0.978541,-98.169922,-4.472997,-20.042341,0.993072,-98.926262,-4.751608,81.01741,1.863576,-4.243985,82.782372,2.174899,-3.969321,-17.210264,-98.173149,-4.470636,-20.06986,,,,,,,,,,,,,,,,,,
