Label:, CH1: ŽžŠÔŽ²”gŒ`
DateTime:, Thu Aug 03 15:59:12 2017
DataKind:, CH1, Time, Real
DataPoints:, 4096
DataCalc:
Frequency:, 0.000 , 5000.000, Hz
Sample:, 4096, Internal
Average:, 0, Power/Sum
Voltage(CH1):, -20.000, dBVrms
EU/V(CH1):, 4.739E+002
Window(CH1):, Rect
X-AxisScale:, Lin
X-AxisUnit:, s
Y-AxisScale:, Lin
Y-AxisUnit:, N
Y-AxisMagniude:
Time, Acceleration
0.00000000E+000, -1.91438589E-002
7.81250000E-005, -1.78974308E-002
1.56250000E-004, -1.59478895E-002
2.34375000E-004, -1.96552146E-002
3.12500000E-004, -1.84727050E-002
3.90625000E-004, -1.69066805E-002
4.68750000E-004, -1.66190434E-002
5.46875000E-004, -1.61396470E-002
6.25000000E-004, -1.71623584E-002
7.03125000E-004, -1.62674859E-002
7.81250000E-004, -1.55643728E-002
8.59375000E-004, -1.49251791E-002
9.37500000E-004, -1.69386398E-002
1.01562500E-003, -1.77376326E-002
1.09375000E-003, -1.40942270E-002
1.17187500E-003, -1.47334207E-002
1.25000000E-003, -1.63633656E-002
1.32812500E-003, -1.55004533E-002
1.40625000E-003, -1.69386398E-002
1.48437500E-003, -2.09336020E-002
1.56250000E-003, -2.04542074E-002
1.64062500E-003, -1.71623584E-002
1.71875000E-003, -1.57880913E-002
1.79687500E-003, -1.23684034E-002
1.87500000E-003, -1.45097030E-002
1.95312500E-003, -1.69066805E-002
2.03125000E-003, -1.47334207E-002
2.10937500E-003, -1.72582380E-002
2.18750000E-003, -1.60757285E-002
2.26562500E-003, 1.98789332E-002
2.34375000E-003, 6.06914699E-001
2.42187500E-003, 3.80154228E+000
2.50000000E-003, 1.03485899E+001
2.57812500E-003, 1.31913977E+001
2.65625000E-003, 7.30905533E+000
2.73437500E-003, 1.58609593E+000
2.81250000E-003, 1.90991163E-001
2.89062500E-003, -5.86716115E-001
2.96875000E-003, 2.69292414E-001
3.04687500E-003, 2.04222471E-001
3.12500000E-003, -4.64853823E-001
3.20312500E-003, 2.89043516E-001
3.28125000E-003, -2.41743162E-001
3.35937500E-003, -8.87520835E-002
3.43750000E-003, 1.43147483E-001
3.51562500E-003, -2.64498472E-001
3.59375000E-003, 1.73892722E-001
3.67187500E-003, -1.28286228E-001
3.75000000E-003, -2.53120810E-002
3.82812500E-003, 9.05737877E-002
3.90625000E-003, -1.56826243E-001
3.98437500E-003, 1.32121399E-001
4.06250000E-003, -9.62945744E-002
4.14062500E-003, -1.23044839E-002
4.21875000E-003, 3.85114364E-002
