Label:, CH2: ŽžŠÔŽ²”gŒ`
DateTime:, Thu Aug 03 15:59:12 2017
DataKind:, CH2, Time, Real
DataPoints:, 4096
DataCalc:
Frequency:, 0.000 , 5000.000, Hz
Sample:, 4096, Internal
Average:, 0, Power/Sum
Voltage(CH2):, -10.000, dBVrms
EU/V(CH2):, 1.093E+003
Window(CH2):, Rect
X-AxisScale:, Lin
X-AxisUnit:, s
Y-AxisScale:, Lin
Y-AxisUnit:, m/s2
Y-AxisMagniude:
0.00000000E+000, -8.55322853E-002
7.81250000E-005, -7.54527524E-002
1.56250000E-004, -7.35882893E-002
2.34375000E-004, -6.75287843E-002
3.12500000E-004, -6.64215311E-002
3.90625000E-004, -7.50446767E-002
4.68750000E-004, -7.13157505E-002
5.46875000E-004, -8.11041817E-002
6.25000000E-004, -7.90066645E-002
7.03125000E-004, -7.90066645E-002
7.81250000E-004, -7.36463293E-002
8.59375000E-004, -6.94512874E-002
9.37500000E-004, -9.22909677E-002
1.01562500E-003, -8.13372433E-002
1.09375000E-003, -8.46000537E-002
1.17187500E-003, -8.39008838E-002
1.25000000E-003, -6.57223538E-002
1.32812500E-003, -8.71636942E-002
1.40625000E-003, -7.34132677E-002
1.48437500E-003, -7.99388960E-002
1.56250000E-003, -9.48546082E-002
1.64062500E-003, -5.84975593E-002
1.71875000E-003, -7.06165731E-002
1.79687500E-003, -8.34347680E-002
1.87500000E-003, -7.01504573E-002
1.95312500E-003, -7.52777383E-002
2.03125000E-003, -7.71422014E-002
2.10937500E-003, -8.73967484E-002
2.18750000E-003, -8.27355906E-002
2.26562500E-003, -7.92397186E-002
2.34375000E-003, -1.06973626E-001
2.42187500E-003, -3.32107663E-001
2.50000000E-003, 2.55012059E+000
2.57812500E-003, 2.10176373E+001
2.65625000E-003, 3.51232376E+001
2.73437500E-003, 7.99225807E+000
2.81250000E-003, 2.10889530E+001
2.89062500E-003, 2.31417274E+001
2.96875000E-003, -1.25064049E+002
3.04687500E-003, -8.11999741E+001
3.12500000E-003, 1.67632324E+002
3.20312500E-003, 1.04591301E+002
3.28125000E-003, -1.21318810E+002
3.35937500E-003, -1.06628929E+002
3.43750000E-003, 7.35971527E+001
3.51562500E-003, 4.32539330E+001
3.59375000E-003, -9.63995514E+001
3.67187500E-003, 2.94641247E+001
3.75000000E-003, 1.04356850E+002
3.82812500E-003, -3.81003227E+001
3.90625000E-003, -1.19767807E+002
3.98437500E-003, -3.63829193E+001
4.06250000E-003, 8.15719299E+001
4.14062500E-003, 6.75726013E+001
4.21875000E-003, 1.73814654E+000
4.29687500E-003, -6.49392853E+001
4.37500000E-003, -6.24849472E+001
4.45312500E-003, 4.33739586E+001
4.53125000E-003, 5.42866669E+001
4.60937500E-003, -2.85703468E+001
4.68750000E-003, -1.30705919E+001
4.76562500E-003, 6.56999817E+001
4.84375000E-003, -1.66976738E+001
4.92187500E-003, -1.42950790E+002
5.00000000E-003, -1.33367443E+001
5.07812500E-003, 1.50402176E+002
5.15625000E-003, 3.43227425E+001
5.23437500E-003, -1.19778236E+002
5.31250000E-003, -5.49769859E+001
5.39062500E-003, 4.80579567E+001
5.46875000E-003, 2.19808655E+001
5.54687500E-003, -7.39399815E+000
5.62500000E-003, 2.20097656E+001
5.70312500E-003, 2.18857784E+001
5.78125000E-003, -9.01701391E-001
5.85937500E-003, -3.80693245E+001
5.93750000E-003, -5.37040215E+001
6.01562500E-003, 3.15110741E+001
6.09375000E-003, 1.07044937E+002
6.17187500E-003, 2.68086624E+000
6.25000000E-003, -1.41381607E+002
6.32812500E-003, -5.18190498E+001
6.40625000E-003, 1.01554558E+002
6.48437500E-003, 2.69202976E+001
6.56250000E-003, -8.15490952E+001
6.64062500E-003, 1.34653921E+001
6.71875000E-003, 8.37850494E+001
6.79687500E-003, -4.99412994E+001
6.87500000E-003, -9.80223312E+001
6.95312500E-003, 5.43997002E+001
7.03125000E-003, 1.09452431E+002
7.10937500E-003, -3.14511776E+000
7.18750000E-003, -6.33773270E+001
7.26562500E-003, -3.39041138E+001
7.34375000E-003, -2.08959794E+000
7.42187500E-003, 3.65947685E+001
7.50000000E-003, 3.04124374E+001
7.57812500E-003, -4.06812057E+001
7.65625000E-003, -3.28469620E+001
7.73437500E-003, 4.25219002E+001
7.81250000E-003, -8.58772087E+000
7.89062500E-003, -8.68462677E+001
7.96875000E-003, 2.99239483E+001
8.04687500E-003, 1.36609512E+002
8.12500000E-003, -1.15414982E+001
8.20312500E-003, -1.42997406E+002
8.28125000E-003, 1.57057786E+000
8.35937500E-003, 1.22758179E+002
8.43750000E-003, 1.01986182E+000
8.51562500E-003, -7.62805862E+001
8.59375000E-003, 2.58109417E+001
8.67187500E-003, 5.02340202E+001
8.75000000E-003, -5.14871750E+001
8.82812500E-003, -5.16260757E+001
8.90625000E-003, 3.50328140E+001
8.98437500E-003, 5.02808647E+001
9.06250000E-003, 1.20029535E+001
9.14062500E-003, -2.97200222E+001
9.21875000E-003, -5.51708870E+001
9.29687500E-003, 2.57435870E+000
9.37500000E-003, 8.32546082E+001
9.45312500E-003, 2.15079918E+001
9.53125000E-003, -7.42893372E+001
9.60937500E-003, -4.89281988E+000
9.68750000E-003, 7.32995377E+001
9.76562500E-003, -2.26378555E+001
9.84375000E-003, -8.31923828E+001
9.92187500E-003, 4.55747261E+001
1.00000000E-002, 1.03092972E+002
1.00781250E-002, -3.50537300E+001
1.01562500E-002, -9.87351990E+001
1.02343750E-002, 1.92003078E+001
1.03125000E-002, 8.04012833E+001
1.03906250E-002, 3.98435950E+000
1.04687500E-002, -3.75586967E+001
1.05468750E-002, -1.65424573E+000
1.06250000E-002, 2.16461945E+001
1.07031250E-002, 6.16788006E+000
1.07812500E-002, -2.36050472E+001
1.08593750E-002, -2.47652092E+001
1.09375000E-002, 3.63978348E+001
1.10156250E-002, 5.83621521E+001
1.10937500E-002, -4.10690155E+001
1.11718750E-002, -8.23545380E+001
1.12500000E-002, 4.08159142E+001
1.13281250E-002, 9.67547302E+001
1.14062500E-002, -2.51870441E+001
1.14843750E-002, -7.06032867E+001
1.15625000E-002, 4.11641045E+001
1.16406250E-002, 6.17230797E+001
1.17187500E-002, -4.23515320E+001
1.17968750E-002, -4.90885391E+001
1.18750000E-002, 4.37363625E+001
1.19531250E-002, 4.69798317E+001
1.20312500E-002, -2.77311058E+001
1.21093750E-002, -4.68397636E+001
1.21875000E-002, -7.19403458E+000
1.22656250E-002, 3.16777096E+001
1.23437500E-002, 3.35218964E+001
1.24218750E-002, -1.63119621E+001
1.25000000E-002, -4.39750137E+001
1.25781250E-002, 2.74162445E+001
1.26562500E-002, 6.57130356E+001
1.27343750E-002, -3.11004257E+001
1.28125000E-002, -6.47463074E+001
1.28906250E-002, 5.90582962E+001
1.29687500E-002, 8.17353058E+001
1.30468750E-002, -6.56915894E+001
1.31250000E-002, -8.25547409E+001
1.32031250E-002, 5.89611092E+001
1.32812500E-002, 6.33500595E+001
1.33593750E-002, -5.83094826E+001
1.34375000E-002, -4.98152161E+001
1.35156250E-002, 4.66780205E+001
1.35937500E-002, 3.22545280E+001
1.36718750E-002, -3.33692436E+001
1.37500000E-002, -2.18079357E+001
1.38281250E-002, 2.11565399E+001
1.39062500E-002, 3.12584381E+001
1.39843750E-002, 1.68114052E+001
1.40625000E-002, -2.16701984E+001
1.41406250E-002, -3.76122971E+001
1.42187500E-002, 2.52690811E+001
1.42968750E-002, 5.41775970E+001
1.43750000E-002, -3.41367035E+001
1.44531250E-002, -6.62660828E+001
1.45312500E-002, 4.21797714E+001
1.46093750E-002, 6.16426773E+001
1.46875000E-002, -6.45999527E+001
1.47656250E-002, -6.74243774E+001
1.48437500E-002, 6.79750977E+001
1.49218750E-002, 6.64369125E+001
1.50000000E-002, -5.66177139E+001
1.50781250E-002, -5.05965996E+001
1.51562500E-002, 4.63527298E+001
1.52343750E-002, 3.85170898E+001
1.53125000E-002, -2.94212418E+001
1.53906250E-002, -2.59188461E+001
1.54687500E-002, 1.86350842E+001
1.55468750E-002, 2.37523403E+001
1.56250000E-002, -9.01794624E+000
1.57031250E-002, -4.09496880E+001
1.57812500E-002, -1.98747196E+001
1.58593750E-002, 4.48585396E+001
1.59375000E-002, 3.90414124E+001
1.60156250E-002, -4.81173897E+001
1.60937500E-002, -5.23790855E+001
1.61718750E-002, 4.65969162E+001
1.62500000E-002, 4.86594810E+001
1.63281250E-002, -4.92964287E+001
1.64062500E-002, -3.63917732E+001
1.64843750E-002, 5.81652184E+001
1.65625000E-002, 2.85820007E+001
1.66406250E-002, -6.71875916E+001
1.67187500E-002, -3.85167961E+001
1.67968750E-002, 4.77729301E+001
1.68750000E-002, 3.83163681E+001
1.69531250E-002, -2.58058128E+001
1.70312500E-002, -3.99207382E+001
1.71093750E-002, -3.23461199E+000
1.71875000E-002, 2.97062721E+001
1.72656250E-002, 1.51107817E+001
1.73437500E-002, -2.84137325E+001
1.74218750E-002, -1.32162533E+001
1.75000000E-002, 4.33604431E+001
1.75781250E-002, 1.24499588E+001
1.76562500E-002, -7.05531845E+001
1.77343750E-002, -3.00292912E+001
1.78125000E-002, 7.69613495E+001
1.78906250E-002, 3.57611198E+001
1.79687500E-002, -7.87069473E+001
1.80468750E-002, -4.49480324E+001
1.81250000E-002, 5.47833138E+001
1.82031250E-002, 2.36278858E+001
1.82812500E-002, -4.45306244E+001
1.83593750E-002, -2.55967593E+000
1.84375000E-002, 4.48969917E+001
1.85156250E-002, 1.61579108E+000
1.85937500E-002, -4.05168991E+001
1.86718750E-002, -1.74602394E+001
1.87500000E-002, 2.15627594E+001
1.88281250E-002, 3.69639320E+001
1.89062500E-002, 4.39663935E+000
1.89843750E-002, -5.54901772E+001
1.90625000E-002, -4.04136543E+001
1.91406250E-002, 4.08998146E+001
1.92187500E-002, 3.51889610E+001
1.92968750E-002, -4.64936714E+001
1.93750000E-002, -2.42368679E+001
1.94531250E-002, 5.79575615E+001
1.95312500E-002, 1.00128708E+001
1.96093750E-002, -7.74803696E+001
1.96875000E-002, -8.34697247E+000
1.97656250E-002, 9.21616211E+001
1.98437500E-002, 2.53331718E+001
1.99218750E-002, -7.41681442E+001
2.00000000E-002, -3.23873711E+001
2.00781250E-002, 3.77156029E+001
2.01562500E-002, 1.38332157E+001
2.02343750E-002, -2.18894482E+001
2.03125000E-002, -5.87585831E+000
2.03906250E-002, 8.57839870E+000
2.04687500E-002, -7.82841802E-001
2.05468750E-002, -1.94263172E+001
2.06250000E-002, -2.69172668E+001
2.07031250E-002, 1.38646202E+001
2.07812500E-002, 6.14466743E+001
2.08593750E-002, 1.33719358E+001
2.09375000E-002, -7.02895966E+001
2.10156250E-002, -3.03373928E+001
2.10937500E-002, 6.29732056E+001
2.11718750E-002, 3.19848804E+001
2.12500000E-002, -4.85012360E+001
2.13281250E-002, -1.47546692E+001
2.14062500E-002, 4.21483078E+001
2.14843750E-002, -1.23317986E+001
2.15625000E-002, -6.24467278E+001
2.16406250E-002, 3.80909991E+000
2.17187500E-002, 6.58472748E+001
2.17968750E-002, 1.75958786E+001
2.18750000E-002, -4.79439926E+001
2.19531250E-002, -3.60053635E+001
2.20312500E-002, 1.80025654E+001
2.21093750E-002, 4.23410454E+001
2.21875000E-002, 1.06894388E+001
2.22656250E-002, -2.67979412E+001
2.23437500E-002, -6.60183382E+000
2.24218750E-002, 2.45904160E+001
2.25000000E-002, -1.50804844E+001
2.25781250E-002, -4.77377357E+001
2.26562500E-002, 2.17820663E+001
2.27343750E-002, 7.09437866E+001
2.28125000E-002, -1.23702526E+001
2.28906250E-002, -8.12593994E+001
2.29687500E-002, -8.69865704E+000
2.30468750E-002, 6.36369553E+001
2.31250000E-002, 1.96393318E+001
2.32031250E-002, -2.87731075E+001
2.32812500E-002, -1.44472659E+000
2.33593750E-002, 1.84318581E+001
2.34375000E-002, -1.16699133E+001
2.35156250E-002, -2.51290131E+001
2.35937500E-002, 4.07245541E+000
2.36718750E-002, 3.49612656E+001
2.37500000E-002, 2.46228104E+001
2.38281250E-002, -3.11193027E+001
2.39062500E-002, -5.90690155E+001
2.39843750E-002, 5.73392582E+000
2.40625000E-002, 6.95822601E+001
2.41406250E-002, 1.54985905E+001
2.42187500E-002, -5.15601196E+001
2.42968750E-002, -3.12717223E+000
2.43750000E-002, 4.39633636E+001
2.44531250E-002, -1.75387802E+001
2.45312500E-002, -4.55085373E+001
2.46093750E-002, 3.82147522E+001
2.46875000E-002, 6.33381729E+001
2.47656250E-002, -3.04487953E+001
2.48437500E-002, -7.14658356E+001
2.49218750E-002, 4.68446575E-002
2.50000000E-002, 4.73939781E+001
2.50781250E-002, 1.71344833E+001
2.51562500E-002, -1.40092916E+001
2.52343750E-002, -1.31870623E+001
2.53125000E-002, -2.99945652E-001
2.53906250E-002, 7.95450258E+000
2.54687500E-002, -1.31654465E+000
2.55468750E-002, -6.03247356E+000
2.56250000E-002, 2.77152576E+001
2.57031250E-002, 3.89407310E+001
2.57812500E-002, -3.13113422E+001
2.58593750E-002, -6.94247131E+001
2.59375000E-002, 1.42095461E+001
2.60156250E-002, 7.42697601E+001
2.60937500E-002, -6.45803750E-001
2.61718750E-002, -5.97588692E+001
2.62500000E-002, -1.62744403E+000
2.63281250E-002, 3.44417763E+001
2.64062500E-002, -1.65109940E+001
2.64843750E-002, -2.55839424E+001
2.65625000E-002, 3.70555229E+001
2.66406250E-002, 4.53540192E+001
2.67187500E-002, -1.92787914E+001
2.67968750E-002, -4.86161308E+001
2.68750000E-002, -6.69668865E+000
2.69531250E-002, 4.04341660E+001
2.70312500E-002, 3.37006531E+001
2.71093750E-002, -1.64166050E+001
2.71875000E-002, -4.10053902E+001
2.72656250E-002, -3.54924035E+000
2.73437500E-002, 2.34682426E+001
2.74218750E-002, -1.03454447E+001
2.75000000E-002, -2.06405487E+001
2.75781250E-002, 3.35603523E+001
2.76562500E-002, 3.76717300E+001
2.77343750E-002, -4.08681183E+001
2.78125000E-002, -5.35651207E+001
2.78906250E-002, 3.35801620E+001
2.79687500E-002, 6.42986069E+001
2.80468750E-002, -4.80635500E+000
2.81250000E-002, -4.25135078E+001
2.82031250E-002, -6.58948183E+000
2.82812500E-002, 1.50940018E+001
2.83593750E-002, -3.79558253E+000
2.84375000E-002, -1.22043152E+001
2.85156250E-002, 8.35606194E+000
2.85937500E-002, 2.29389668E+001
2.86718750E-002, -2.02224422E+000
2.87500000E-002, -4.21699829E+001
2.88281250E-002, -2.44573402E+001
2.89062500E-002, 4.62934761E+001
2.89843750E-002, 5.29698906E+001
2.90625000E-002, -2.55091305E+001
2.91406250E-002, -5.08593140E+001
2.92187500E-002, 1.52128611E+001
2.92968750E-002, 3.44126472E+001
2.93750000E-002, -2.14355106E+001
2.94531250E-002, -2.07677994E+001
2.95312500E-002, 3.56811790E+001
2.96093750E-002, 1.90720692E+001
2.96875000E-002, -4.82686424E+001
2.97656250E-002, -3.73836708E+001
2.98437500E-002, 3.00658798E+001
2.99218750E-002, 4.31861153E+001
3.00000000E-002, 7.03602135E-001
3.00781250E-002, -2.84910488E+001
3.01562500E-002, -1.76000156E+001
3.02343750E-002, 1.26581373E+001
3.03125000E-002, 2.07109318E+001
3.03906250E-002, -6.41515446E+000
3.04687500E-002, -1.22756310E+001
3.05468750E-002, 2.08815308E+001
3.06250000E-002, 1.11968060E+001
3.07031250E-002, -4.70283089E+001
3.07812500E-002, -3.40500069E+001
3.08593750E-002, 4.93500328E+001
3.09375000E-002, 4.84383087E+001
3.10156250E-002, -3.81308517E+001
3.10937500E-002, -4.77678032E+001
3.11718750E-002, 2.35181160E+001
3.12500000E-002, 3.20352211E+001
3.13281250E-002, -1.70360737E+001
3.14062500E-002, -1.01569004E+001
3.14843750E-002, 2.83463783E+001
3.15625000E-002, 1.04964666E+001
3.16406250E-002, -3.28658409E+001
3.17187500E-002, -2.78014889E+001
3.17968750E-002, 1.35059443E+001
3.18750000E-002, 3.43124313E+001
3.19531250E-002, 8.26400375E+000
3.20312500E-002, -3.54357719E+001
3.21093750E-002, -3.03283043E+001
3.21875000E-002, 2.12350807E+001
3.22656250E-002, 3.02138729E+001
3.23437500E-002, -1.44684734E+001
3.24218750E-002, -1.45759134E+001
3.25000000E-002, 3.06433983E+001
3.25781250E-002, 1.36457787E+001
3.26562500E-002, -4.42080727E+001
3.27343750E-002, -2.22980576E+001
3.28125000E-002, 4.68968620E+001
3.28906250E-002, 3.29730453E+001
3.29687500E-002, -3.62106895E+001
3.30468750E-002, -3.96690369E+001
3.31250000E-002, 1.01377897E+001
3.32031250E-002, 2.21703415E+001
3.32812500E-002, -4.32672167E+000
3.33593750E-002, -1.08765841E+001
3.34375000E-002, 8.92076111E+000
3.35156250E-002, 1.62376175E+001
3.35937500E-002, -8.49706173E+000
3.36718750E-002, -2.80839558E+001
3.37500000E-002, 4.35422277E+000
3.38281250E-002, 4.62494278E+001
3.39062500E-002, 1.57652082E+001
3.39843750E-002, -4.62170334E+001
3.40625000E-002, -2.96696815E+001
3.41406250E-002, 3.06993332E+001
3.42187500E-002, 2.04571323E+001
3.42968750E-002, -2.73218555E+001
3.43750000E-002, -1.12436504E+001
3.44531250E-002, 2.78406429E+001
3.45312500E-002, 2.96473074E+000
3.46093750E-002, -3.48610497E+001
3.46875000E-002, -8.09620190E+000
3.47656250E-002, 3.69126587E+001
3.48437500E-002, 2.71123371E+001
3.49218750E-002, -1.56270056E+001
3.50000000E-002, -2.96787720E+001
3.50781250E-002, -2.44658494E+000
3.51562500E-002, 2.50922489E+001
3.52343750E-002, 9.79735088E+000
3.53125000E-002, -2.20200195E+001
3.53906250E-002, -8.80959225E+000
3.54687500E-002, 2.28494720E+001
3.55468750E-002, -2.08470392E+000
3.56250000E-002, -4.03490982E+001
3.57031250E-002, -5.89869797E-001
3.57812500E-002, 5.31381569E+001
