Label:, CH1-2: é¸îgêîâûìöä÷êî
DateTime:, Thu Feb 08 16:38:24 2018
DataKind:, CH1-2, FRF, Mag
DataPoints:, 1601
DataCalc:, H1
Frequency:, 0.000 , 4000.000, Hz
Sample:, 4096, Internal
Average:, 3, Power/Sum
Voltage(CH1):, -20.000, dBVrms
Voltage(CH2):, -10.000, dBVrms
EU/V(CH1):, 3.757E+001
EU/V(CH2):, 1.088E+003
Window(CH1):, Rect
Window(CH2):, Rect
X-AxisScale:, Lin
X-AxisUnit:, Hz
Y-AxisScale:, Log
Y-AxisUnit:, m/s2/N
Y-AxisMagniude:
0.00000000E+000, 4.51966590E+001
2.50000000E+000, -2.42479246E+000
5.00000000E+000, -1.08091301E+000
7.50000000E+000, -3.39463021E+000
1.00000000E+001, -1.09088552E+000
1.25000000E+001, 1.04473286E+001
1.50000000E+001, 1.48082942E+001
1.75000000E+001, 8.01635300E+000
2.00000000E+001, 6.83387895E-001
2.25000000E+001, 7.49841459E+000
2.50000000E+001, 6.09791040E+000
2.75000000E+001, -2.66920882E+000
3.00000000E+001, 1.82378854E+000
3.25000000E+001, -3.03913785E-002
3.50000000E+001, -2.10884941E+000
3.75000000E+001, 2.19411313E+000
4.00000000E+001, -8.58075505E+000
4.25000000E+001, -5.56135330E+000
4.50000000E+001, -3.05741022E+000
4.75000000E+001, -1.79517676E+000
5.00000000E+001, -2.59308769E+001
5.25000000E+001, -2.33621690E+000
5.50000000E+001, -1.08064370E+001
5.75000000E+001, -2.11705856E+001
6.00000000E+001, -7.48811218E+000
6.25000000E+001, -1.66821694E-001
6.50000000E+001, 3.06012773E+000
6.75000000E+001, -1.69854073E-001
7.00000000E+001, -5.65549812E+000
7.25000000E+001, -9.28515126E+000
7.50000000E+001, -6.76363189E+000
7.75000000E+001, -4.14731203E-001
8.00000000E+001, -9.66803617E-001
8.25000000E+001, 3.59995012E+000
8.50000000E+001, 3.13058462E+000
8.75000000E+001, 2.25448691E+000
9.00000000E+001, 7.54703654E+000
9.25000000E+001, 6.87527463E+000
9.50000000E+001, 4.72524237E+000
9.75000000E+001, 8.03202293E+000
1.00000000E+002, 7.00002930E+000
1.02500000E+002, 9.68012814E+000
1.05000000E+002, 1.14019876E+001
1.07500000E+002, 1.21886754E+001
1.10000000E+002, 1.22363583E+001
1.12500000E+002, 1.49200901E+001
1.15000000E+002, 1.53659838E+001
1.17500000E+002, 1.62569482E+001
1.20000000E+002, 1.73005234E+001
1.22500000E+002, 1.97710083E+001
1.25000000E+002, 2.09059276E+001
1.27500000E+002, 2.26448383E+001
1.30000000E+002, 2.45744047E+001
1.32500000E+002, 2.67318684E+001
1.35000000E+002, 2.95154858E+001
1.37500000E+002, 3.27488225E+001
1.40000000E+002, 3.76502284E+001
